year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2017,2017-01-23,Southbound,All Vehicles,151,55,38,69,112,420,1049,1347,1309,1119,936,977,1011,1042,1130,1463,1414,1567,1390,863,698,672,452,232,0,1
2017,2017-01-23,Northbound,All Vehicles,183,66,58,47,106,305,686,853,990,840,853,779,773,836,866,1080,1201,1226,1196,840,627,618,429,298,0,1
2017,2017-01-24,Northbound,All Vehicles,130,61,52,45,110,340,683,857,1032,872,773,753,813,918,962,1141,1189,1214,1126,729,581,566,409,231,0,1
2017,2017-01-25,Northbound,All Vehicles,107,58,52,35,112,357,663,884,956,903,789,751,903,925,970,1135,1183,1263,1153,995,755,622,498,336,0,1
2017,2017-01-26,Northbound,All Vehicles,255,126,97,73,86,128,176,232,381,560,682,773,877,803,780,772,823,897,885,778,658,632,538,334,1,1
2017,2017-01-26,Southbound,All Vehicles,214,140,107,89,111,179,325,406,558,780,1044,1233,1131,936,863,807,783,831,784,705,605,594,557,361,1,1
2017,2017-01-27,Southbound,All Vehicles,181,110,66,55,116,296,785,1170,1193,1050,964,980,1088,1094,1214,1369,1375,1442,1262,889,715,709,649,560,0,1
2017,2017-01-27,Northbound,All Vehicles,175,91,57,44,104,254,595,853,920,803,861,897,922,1011,1028,1106,1151,1188,1027,800,651,607,581,474,0,1
2017,2017-01-28,Northbound,All Vehicles,287,169,91,72,73,170,339,446,651,805,930,935,940,913,1011,974,993,1045,934,906,756,677,716,511,0,1
2017,2017-01-28,Southbound,All Vehicles,355,189,131,85,109,229,469,627,817,1042,1115,932,998,943,821,816,852,1089,906,795,736,723,669,625,0,1
2017,2017-01-29,Northbound,All Vehicles,351,196,134,68,72,135,203,271,482,714,786,866,818,796,818,965,964,1100,1055,810,749,626,495,262,0,1
2017,2017-01-29,Southbound,All Vehicles,377,205,149,108,92,163,246,351,514,794,961,1042,1111,844,846,802,1105,954,893,747,618,640,492,299,0,1
2017,2017-01-30,Northbound,All Vehicles,163,77,65,38,102,319,673,994,1169,935,772,756,761,869,995,1135,1167,1240,1149,775,613,492,377,217,0,0
2017,2017-01-30,Southbound,All Vehicles,156,69,46,55,97,405,1153,1475,1385,1125,743,648,669,754,907,949,968,954,882,628,505,490,320,206,0,0
2017,2017-01-31,Northbound,All Vehicles,113,75,60,52,109,322,725,1037,1033,885,755,816,811,865,993,1127,1178,1276,1174,780,620,516,390,243,0,0
2017,2017-01-31,Southbound,All Vehicles,113,63,55,52,100,329,746,1023,927,756,697,667,667,724,812,929,958,983,920,665,728,637,405,248,0,0
2017,2017-02-01,Northbound,All Vehicles,137,50,55,33,109,344,727,1036,1163,918,826,782,808,840,1028,1178,1191,1227,1181,838,603,521,439,226,0,0
2017,2017-02-01,Southbound,All Vehicles,132,79,50,54,115,401,1165,1550,1528,881,706,750,902,1033,940,1183,1241,1231,1156,836,611,637,414,240,0,0
2017,2017-02-02,Northbound,All Vehicles,98,49,57,58,106,345,736,1087,1153,990,785,779,764,840,956,1161,1167,1232,1136,812,655,578,424,269,0,0
2017,2017-02-02,Southbound,All Vehicles,136,71,49,56,86,393,996,1383,1416,1110,975,844,952,770,877,992,1047,1609,1094,896,687,628,499,265,0,0
2017,2017-02-03,Southbound,All Vehicles,142,81,61,54,112,391,990,1327,1322,1052,910,1031,1019,1090,1349,1513,1512,1679,1441,1049,741,693,642,438,0,0
2017,2017-02-03,Northbound,All Vehicles,118,75,63,55,96,349,748,1012,1128,938,839,802,924,1085,1226,1183,1231,1270,1216,898,750,615,550,386,0,0
2017,2017-02-04,Southbound,All Vehicles,323,148,113,87,92,214,524,659,864,1047,1259,1290,1300,1359,1382,1316,1215,1278,1143,970,711,756,756,643,0,0
2017,2017-02-04,Northbound,All Vehicles,326,136,89,72,73,212,491,594,839,989,1090,1058,1071,1078,1087,1033,1085,912,1041,882,689,685,696,599,0,0
2017,2017-02-05,Southbound,All Vehicles,402,249,130,124,109,148,295,437,583,918,1053,978,920,851,838,784,809,738,712,633,637,549,455,256,0,0
2017,2017-02-05,Northbound,All Vehicles,363,231,129,90,62,114,226,325,502,773,751,805,821,804,916,918,982,1150,1105,931,871,742,590,311,0,0
2017,2017-02-06,Southbound,All Vehicles,125,62,44,48,106,413,1103,1407,1592,943,611,677,674,824,1223,1455,1551,1536,1335,933,701,533,396,237,0,0
2017,2017-02-06,Northbound,All Vehicles,135,57,63,49,94,322,753,1099,1144,831,735,737,770,820,991,1087,1103,1183,1106,809,608,509,382,217,0,0
